OpenTime;Type;Volume;Symbol;OpenPrice;S/L;T/P;CloseTime;ClosePrice;Commission;Swap;Profit;Comment
2020.12.23 00:28:56;Sell;0.01;EURAUD.;1.61545;;;2020.12.23 01:02:57;1.61433;;;0.84;
2020.12.22 01:50:26;Sell;0.01;EURUSD.;1.22310;;;2020.12.22 05:48:49;1.22210;;;1.00;
2020.12.22 05:48:39;Buy;0.01;EURGBP.;0.91292;;;2020.12.22 05:48:49;0.91259;;;-0.44;
2020.12.21 09:38:19;Buy;0.01;EURUSD.;1.22147;;;2020.12.21 15:40:48;1.22127;;;-0.20;
2020.12.21 00:06:00;Sell Stop;0.01;EURGBP.;0.91293;;;2020.12.21 15:40:48;0.91668;;;;cancelled
2020.12.21 09:15:39;Buy;0.01;EURCHF.;1.08235;;;2020.12.21 15:40:48;1.08296;;;0.69;
2020.12.21 04:06:01;Sell Stop;0.01;EURGBP.;0.91293;;;2020.12.21 15:40:47;0.91668;;;;cancelled
2020.12.17 00:06:02;Sell Stop;0.01;EURCAD.;1.55321;;;2020.12.17 22:01:04;1.56098;;;;cancelled
2020.12.17 00:06:35;Buy;0.01;EURGBP.;0.90376;;;2020.12.17 22:01:04;0.90430;;;0.74;
2020.12.10 12:55:00;Buy Stop;0.01;GBPAUD.;1.77192;;;2020.12.11 09:42:02;1.75552;;;;cancelled
2020.12.11 00:44:05;Buy;0.01;AUDNZD.;1.06119;;;2020.12.11 09:42:02;1.06340;;;1.56;
2020.12.09 19:55:01;Sell Stop;0.01;AUDNZD.;1.05829;;;2020.12.10 08:02:44;1.06138;;;;cancelled
2020.12.09 20:29:47;Buy;0.01;AUDUSD.;0.74339;;;2020.12.10 08:02:44;0.74561;;;2.22;
2020.12.08 15:55:02;Sell Stop;0.01;AUDNZD.;1.05057;;;2020.12.09 09:11:36;1.05350;;;;cancelled
2020.12.09 05:02:27;Buy;0.01;AUDCHF.;0.66019;;;2020.12.09 09:11:36;0.66088;;;0.78;
2020.12.07 18:55:06;Sell Stop;0.01;AUDUSD.;0.74167;;;2020.12.07 19:04:09;0.74451;;;;cancelled
2020.12.07 19:03:52;Sell;0.01;GBPAUD.;1.79372;;;2020.12.07 19:04:09;1.79286;;;0.64;
2020.12.07 09:16:36;Buy;0.01;EURAUD.;1.63492;;;2020.12.07 10:54:36;1.63672;;;1.32;
2020.12.04 19:55:03;Buy Stop;0.01;AUDCAD.;0.95008;;;2020.12.07 10:54:36;0.94668;;;;cancelled
